Name,Details,Price
Camarão florentina (meio ou inteiro),"Camarões refogados com alho e cebola, flambados no vinho branco. Servido sobre espaguete ao molho bechamel e espinafre. Gratinado com queijo mussarela e parmesão. tamanho do camarão nesse prato: 18 g","A partir de R$ 190,01"
Praia de Boa Viagem ( Serve 2 pessoas ),"Camarão refogado com alho , cebola. Servido sobre espaguete ao molho bechamel e espinafre. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g","R$ 190,00"
Camarão Siciliano (2 Pessoas),"6 camarões recheados com queijo Catupiry e empandos, servidos sobre risoto de limão siciliano, decorado com salsinha. Acompanha batata palha.","R$ 168,00"
Camarão Coco Bambu (2 pessoas),"Camarões recheados com Catupiry e empanados. Servidos sobre cremoso arroz com camarões, ervilhas e presunto, envolvido com molho branco. Gratinado com queijos muçarela e parmesão. Acompanha batata palha.","R$ 230,00"
Camarão Coco Brasil (2 pessoas),"Camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarões e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","R$ 206,00"
Camarão Fernando de Noronha (2 pessoas),"Camarões salteados no azeite e alho, com legumes, palmito, batata recheada, tomates cereja e muçarela de búfala envolvidos em leve molho escalivada e azeite de ervas. Acompanha arroz de brócolis.","R$ 250,00"
Carbonara Coco Bambu (Meio ou Inteiro),"Carbonara de camarão com fettuccine e molho feito com gema de ovo, queijo parmesão, creme de leite fresco, pimenta do reino, bacon e finalizado com farofa crocante de panko.","A partir de R$ 234,01"
Camarão imperial (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre espaguete com molho a sua escolha (molho branco, tomate fresco ou parmegiana).","A partir de R$ 182,01"
Camarão Baiano (Meio ou Inteiro),"Camarões em crosta de pão de alho servidos sobre risoto de vatapá preparado com azeite de dendê, leite, pão francês, leite de coco, gengibre, pimenta Tabasco, coentro, salsinha e cebolinha.","A partir de R$ 182,01"
Camarão Leblon (Meio ou Inteiro),"Camarões grelhados servidos sobre arroz de coco preparado com manteiga da terra, leite de coco, coco em flocos, tomate em cubos, mix de pimentões, coentro, salsinha e cebolinha.","A partir de R$ 181,01"
Camarão Buzios ( Serve 2 pessoas ),"Arroz de leite com queijo coalho coberto com camarões refogados com cheiro verde, cebola, alho, tomate fresco e nata. Gratinado com queijo coalho e coberto com batata palha. tamanho do camarão nesse prato: 13g.","R$ 182,00"
Camarão Coco Brasil (Meio ou Inteiro),"9 - 18 camarões empanados e recheados com Catupiry, sobre um cremoso arroz de moqueca com camarõees e coentro, coberto com batata palha. Acompanha farofa de panko com bacon e alho poró.","A partir de R$ 243,01"
Camarão Coco Bambu (Meio ou Inteiro),"9 - 18 camarões empanados, recheados com queijo Catupiry, servido sobre cremoso arroz com camarão, ervilhas e presunto envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão nesse prato: 18 g e 30 g","A partir de R$ 262,01"
Camarão internacional (Meio ou Inteiro),"Servido sobre cremoso arroz com ervilhas e presunto, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. Tamanho do camarão nesse prato: 18g.","A partir de R$ 195,01"
Camarão mediterrâneo (meio ou inteiro),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo mussarela. Acompanha batata palha. tamanho do camarão no camarão mediterrâneo: 18g.","A partir de R$ 176,01"
Praia de Boa Viagem ( Serve 2 pessoas ),"Camarão refogado com alho , cebola. Servido sobre espaguete ao molho bechamel e espinafre. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g","R$ 190,00"
Praia de Itamaracá (Serve 2 pessoas),"Arroz à grega (ervilhas, pimentões, passas, cenoura e presunto) coberto com de camarões à milanesa, molho caseiro de tomate fresco. Gratinado com queijo mussarela. Acompanha batata palha. (*) a quantidade de pessoas que cada prato serve é apenas uma sugestão do restaurante. tamanho do camarão nesse prato: 13g.","R$ 190,00"
Praia de Olinda ( Serve 2 pessoas ),"Camarões refogados com alho e cebola, servido sobre cremoso arroz com manjericão, envolvido com molho branco. Gratinado com queijo muçarela. Acompanha batata palha. tamanho do camarão nesse prato: 13g","R$ 176,00"
Praia de Tamandaré ( Serve 2 pessoas ),"Espaguete italiano coberto com delicioso molho de tomate fresco acrescido de tomate seco, azeitona, rúcula e camarões. tamanho do camarão nesse prato: 13g.","R$ 183,00"
Camarão iracema (meio ou inteiro),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.","A partir de R$ 179,01"
Kid´s Filé,"Filé grelhado, arroz e batatas fritas","R$ 50,00"
Kids Coco Bambu,"100g de filé grelhado e cortado em cubos, arroz, batatas fritas, feijão do Dia e farofa da casa.","R$ 56,00"
Kids frango,"Filé de frango grelhado, arroz e batatas fritas","R$ 45,00"
Kids parmegiana,Filé Mignon à milanesa com espaguete e molho de tomate.,"R$ 59,00"
Kids pasta,Delicioso espaguete ao molho branco ou molho de tomate ou alho e óleo.,"R$ 46,00"
Kids peixe grelhado,"Filé de tilápia grelhado, molho pesto, arroz e purê de batata.","R$ 50,00"
Cocada ao forno,Elaborada com coco ralado fresco e leite condensado. Dourada ao forno.,"R$ 40,00"
O melhor pudim do Mundo,Com doce caseiro de ameixas pretas em calda.,"R$ 40,00"
Água mineral Com gás,Com gás,"R$ 8,00"
Água mineral - Sem gás,Sem gás,"R$ 8,00"
Água Tônica Zero Antarctica 350ml,Lata 350ml,"R$ 10,90"
Água Tônica,Água Tônica,"R$ 9,00"
Água Perrier,Garrafa 330 ml,"R$ 12,90"
Água Mineral com Gás San Pellegrino 250ml,,"R$ 10,90"
Coca - 2 litros,Coca-Cola 2l,"R$ 14,90"
Coca zero - 2 litros,Coca-Cola zero 2l,"R$ 14,90"
Coca- zero lata,Coca-Cola zero lata,"R$ 9,00"
Coca- lata,Coca-Cola lata,"R$ 9,00"
Soda - lata,Soda lata,"R$ 9,00"
Fanta uva - lata,Fanta uva lata,"R$ 9,00"
Schweppes Citrus,Lata 330 ml,"R$ 9,00"
Pepsi - lata,Pepsi lata,"R$ 8,90"
H2oh! Limão,H2oh! Limão,"R$ 9,00"
Guaraná Antarctica zero - 2 litros,Antarctica Guaraná zero 2l,"R$ 14,90"
Guaraná Antarctica - lata,Antarctica Guaraná,"R$ 9,00"
Guaraná Antarctica - 2 litros,Antarctica Guaraná 2l,"R$ 14,90"
Guaraná Antarctica zero - lata,Antarctica Guaraná zero lata,"R$ 9,00"
Fanta laranja - lata,Fanta laranja lata,"R$ 9,00"
Suco Laranja Copo (300ml),,"R$ 8,90"
Suco Laranja (500ml),,"R$ 21,00"
Red Bull Energy Drink,250 ml,"R$ 21,00"
Corona Extra 355 ml,"E baixa graduação alcoólica, com sabor leve e refrescante, a Corona é uma Premium American Lager perfeita para se tomar na praia com os amigos. Ah, uma fatia de limão reforça a acidez e o toque cítrico da Corona! Teor alcoólico - 4,6% 330 ml","R$ 14,90"
Hoegaarden,,"R$ 14,90"
Cerveja Stella Artois S/ Glutem L.N 330 Ml.,Produto para maiores de 18 anos,"R$ 20,00"
Cerveja Stella Artois 330ml,Produto para maiores de 18 anos,"R$ 11,00"
Stella Artois - long neck,Cerveja Stella Artois,"R$ 9,90"
Budweiser - long neck,Cerveja Budweiser,"R$ 11,90"
Coco Bambu Reserva,"Vinho Tinto - Alentejo - Touriga Nacional, Alicante Bouschet e Petit Verdot","R$ 139,00"
Coco Bambu Rosé,Vinho Rosé - Alentejo - Trincadera e Moreto - Luis Duarte,"R$ 120,00"
Espumante Coco Bambu brut,"Casa valduga | vale dos vinhedos | chadonnay, pinot noi","R$ 95,00"
Espumante Coco Bambu rosé,"Casa valduga | vale dos vinhedos | chadonnay, pinot noir","R$ 95,00"
Cachaça Coco Bambu,Garrafa Cachaça Coco Bambu,"R$ 79,90"
Vasto Branco Italia,Variedades indígenas e internacionais,"R$ 99,90"
Vasto Rose Italia,Variedades indígenas e internacionais,"R$ 99,90"
Vasto Tinto Rosso,Montepulciano,"R$ 99,90"
Vasto Tinto Montepulciano d'Abruzzo,Montepulciano,"R$ 149,00"
Cerveja Coco Bambu 600 ml,"Criada em parceria com a cervejaria mineira Wals, de Belo Horizonte, nossa cerveja artesanal, puro malte tipo pilsen é de alta qualidade. Possui coloração dourada, sabor limpo, com sutis notas frutada","R$ 18,90"
Pimenta Coco Bambu,Molho de pimenta tradicional mendez,"R$ 14,00"
Licor Coco Bambu,"Fusão de sabores tropicais, a bebida é uma deliciosa combinação de vodka e coco, apresentando um equilíbrio fino de coco fresco, notas suaves de baunilha e um toque especial de doçura. Um acompanhamento perfeito para sobremesas, para ser degustado como um licor, para se tomar como um drink com gelo e também uma excelente opção de presente/souvenir.","R$ 89,00"
Cocada ao forno,Elaborada com coco ralado fresco e leite condensado. Dourada ao forno.,"R$ 33,90R$ 40,00"
Carne de Sol do Sertão (4 Pessoas),"Arroz de leite coberto com carne de sol desfiada e refogada na manteiga da terra com cebola roxa, nata e coentro. Gratinada com queijo coalho. Acompanha macaxeira frita.","R$ 188,90R$ 216,00"
Meia Carne de Sol do Sertão (2 Pessoas),"Arroz de leite coberto com carne de sol desfiada e refogada na manteiga da terra com cebola roxa, nata e coentro. Gratinada com queijo coalho. Acompanha macaxeira frita.","R$ 137,90R$ 159,00"
Camarão Iracema (4 Pessoas),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.","R$ 217,90R$ 251,00"
Meio Camarão Iracema (2 Pessoas),"Arroz de leite coberto com camarões refogados em cheiro-verde, cebola, alho, tomate fresco e nata. O prato é gratinado e acompanha macaxeira frita. tamanho do camarão nesse prato: 18g.","R$ 169,00R$ 179,00"
